"Station,Month,Pressure (dbar),Temperature (ITS-90),Salinity (PSS-78) ,DIC (umol/kg),pH,Aklanity (ueq/kg),pH_total"
"WHOTS,2011-11,5.1,24.5372,35.1923,1999.7,8.072,2315,8.078495182"
"WHOTS,2013-09,3,26.9242,35.4877,2008.8,8.082,2334,8.052454721"
"WHOTS,2013-10,3.45,26.5846,35.22505,1998.05,8.078,2323,8.062129643"
"WHOTS,2013-11,3,25.6291,35.4518,2010.4,8.079,2339,8.076815025"
"WHOTS,2013-12,26.2,24.9817,35.4166,2008.2,8.083,2335,8.08385606"
"WHOTS,2014-01,7.4,24.1804,35.4607,2017.9,8.07,2338,8.084562558"
"WHOTS,2014-02,5.3,23.8471,35.329,2012.8,8.065,2330,8.087790474"
"WHOTS,2014-03,3.2,23.761,35.3712,2015.8,8.065,2334,8.089618912"
"WHOTS,2014-04,2.8,23.6381,35.2922,2012.5,8.064,2328,8.088980346"
"WHOTS,2014-06,2,25.4353,35.2739,2006.3,8.069,2330,8.075535435"
"WHOTS,2014-07,3,26.0341,35.1714,1999.3,8.074,2318,8.061674842"
"WHOTS,2015-07,3.1,26.7934,35.1877,1997.6,8.075,2319,8.054424817"
"WHOTS,2015-08,5.3,27.1591,35.3698,2003.6,8.08,2328,8.050042457"
"WHOTS,2015-10,2.6,26.1267,35.2234,1997,8.077,2320,8.066328583"
"WHOTS,2016-01,3.1,24.9248,34.9123,1981.8,8.079,2303,8.087938529"
"WHOTS,2016-02,6.1,24.7823,34.9994,1987.3,8.078,2306,8.084278007"
"WHOTS,2016-03,7.2,24.2376,35.0777,1995.6,8.073,2311,8.08513592"
"WHOTS,2016-04,6.1,24.502,34.8406,1987.5,8.067,2299,8.07968943"
"WHOTS,2016-05,5.4,25.9258,34.8058,1983,8.078,2303,8.07235101"
"WHOTS,2017-08,6.2,27.1048,34.8743,1976.4,8.082,2297,8.055876062"
"WHOTS,2017-10,5.7,26.9447,35.091,1989.5,8.079,2311,8.054749006"
"WHOTS,2017-11,4.5,26.0926,35.0589,1989.1,8.081,2307,8.062616205"
"WHOTS,2017-12,5.5,23.9799,35.109,1997.5,8.069,2310,8.083997018"
"WHOTS,2018-04,5.4,23.6926,35.0991,2006.2,8.052,2313,8.078432438"
"WHOTS,2018-05,5.5,24.8268,34.6918,1979.7,8.061,2286,8.070125033"
"WHOTS,2018-06,5.3,25.9358,34.7259,1980.3,8.066,2296,8.067280058"
"WHOTS,2018-07,4.8,26.0535,34.9777,1987.7,8.063,2302,8.059090872"
"WHOTS,2018-09,5.2,27.178,34.611,1965.2,8.079,2278,8.048380162"
"WHOTS,2020-02,5.7,24.985,34.7114,1978,8.069,2282,8.064271182"
"WHOTS,2020-07,4.8,27.1051,34.5643,1965.2,8.077,2272,8.041010438"
"WHOTS,2020-08,4.9,27.336,34.649,1963.6,8.085,2279,8.049707128"
"WHOTS,2020-09,4.15,27.4671,34.66915,1966.25,8.078,2277.5,8.040841088"
"WHOTS,2020-11,5.3,26.3694,34.7693,1974.8,8.074,2290,8.06042095"
"WHOTS,2020-12,3.4,25.7046,34.8305,1980.6,8.069,2292,8.062970159"
"WHOTS,2021-01,7,25.2815,34.9451,1988,8.07,2297,8.062890357"
"WHOTS,2021-02,5.2,24.2749,34.7919,1989.7,8.056,2290,8.066288537"
"WHOTS,2021-03,4.7,23.4774,34.8414,1996.7,8.05,2296,8.074899937"
"WHOTS,2021-04,4.5,23.8766,34.7741,1990.6,8.053,2289,8.069376081"
"WHOTS,2021-05,4.4,24.6276,34.7445,1988.4,8.054,2288,8.060796586"
"WHOTS,2021-06,5.2,25.9633,34.7326,1983.8,8.058,2288,8.048887707"
"WHOTS,2021-07,5.5,26.0646,34.7369,1983.3,8.056,2283,8.040489006"
"WHOTS,2022-08,5.3,26.019,35.3037,2015,8.056,2327,8.047745645"
"WHOTS,2022-09,4.8,26.7161,35.0039,1995.9,8.061,2304,8.038337156"
"WHOTS,2023-03,4.6,24.3921,34.9878,2007.6,8.045,2300,8.047022553"
"WHOTS,2023-05,4,25.0125,34.6321,1994.1,8.041,2282,8.037295721"
"WHOTS,2024-09,4,27.0896,35.0994,1998.8,8.069,2309,8.034332687"
"WHOTS,2024-10,4.9,26.8416,35.0578,2002.9,8.063,2308,8.030164237"
"WHOTS,2024-12,3.9,25.1231,35.411,2020.7,8.061,2331,8.056305689"